Simulation,Card1,Card2,Card3,Card4,Card5,Card6,Card7,Card8,Card9,Card10,Card11,Card12,Card13,Card14,Card15,Card16,Card17,Card18,Card19,Card20,Card21,Card22,Card23,Card24,Card25,Card26,Card27,Card28,Card29,Card30,Card31,Card32,Card33,Card34,Card35,Card36,Card37,Card38,Card39,Card40,Card41,Card42,Card43,Card44,Card45,Card46,Card47,Card48,Card49,Card50,Card51,Card52,Card53,Card54,Card55,Card56,Card57,Card58,Card59,Card60,Card61,Card62,Card63,Card64,Card65,Card66,Card67
1,22,14,15,5,22,20,15,10,5,1,13,17,3,1,10,6,2,6,1,20,19,6,0,2,2,1,0,1,0,0,0,14,18,20,6,4,7,5,4,2,1,4,3,1,2,0,0,23,20,5,11,8,8,3,5,2,3,5,1,1,2,1,2,1,0,0,1
2,15,19,22,9,21,14,24,8,7,4,17,13,6,7,4,11,2,5,2,16,18,5,8,3,2,2,1,0,0,0,0,13,16,13,9,4,7,9,2,4,2,2,0,0,1,1,0,20,17,11,6,3,10,1,0,1,0,3,4,1,1,2,1,2,0,0,1
3,18,22,15,4,14,22,22,8,9,2,18,19,4,5,6,12,1,5,0,17,13,9,9,0,0,1,0,1,2,2,0,16,16,12,9,6,8,8,6,1,4,0,0,1,1,0,0,15,21,8,7,5,9,0,4,2,2,1,3,3,0,1,0,2,0,1,0
4,15,13,18,5,23,16,16,10,8,4,17,22,6,6,7,5,0,1,2,16,15,8,5,1,4,3,0,1,1,1,0,21,23,15,8,9,6,8,4,1,1,5,1,3,0,0,0,23,14,7,9,9,3,5,4,0,1,2,2,1,0,0,1,4,2,0,1
5,19,15,13,8,7,16,13,4,10,1,17,21,8,4,9,14,3,2,1,20,14,5,8,5,2,2,0,1,0,2,1,21,21,15,9,6,4,6,3,0,2,3,3,2,0,1,0,21,21,7,9,11,11,3,4,3,1,3,2,0,2,0,0,1,0,1,1
6,23,20,15,7,18,20,14,8,3,0,15,19,9,13,8,10,0,2,1,14,23,11,4,2,1,2,1,1,1,1,0,24,13,14,7,7,5,11,0,1,1,3,1,0,1,0,0,19,25,1,10,6,9,4,0,2,2,2,3,2,0,0,2,0,1,0,0
7,12,19,20,4,31,22,19,6,5,1,14,18,5,9,9,9,1,4,1,17,16,11,4,2,1,3,0,1,1,2,0,17,21,16,4,6,9,10,3,2,2,4,1,1,0,1,2,10,23,10,2,5,6,0,3,4,2,2,1,1,1,3,1,0,1,0,1
8,23,25,19,6,15,11,12,7,5,4,18,22,10,5,15,7,3,2,2,12,16,7,8,1,1,1,0,0,1,3,0,30,18,18,3,10,6,8,3,5,1,1,0,0,1,0,0,9,18,4,3,7,6,5,1,4,4,1,3,0,1,0,0,0,1,0,0
9,20,17,17,6,24,16,15,2,9,2,24,27,11,10,5,4,4,2,3,23,17,6,8,3,0,1,0,1,1,1,1,18,15,18,11,9,4,4,2,3,2,2,1,2,0,0,0,13,16,7,5,9,8,2,0,1,2,3,1,1,0,1,0,1,0,1,0
10,20,15,15,6,22,11,20,4,6,5,17,20,5,5,8,12,2,1,0,17,18,10,10,2,1,3,1,1,0,1,0,23,20,12,13,6,11,9,3,1,2,1,2,0,1,0,1,16,10,3,6,9,4,6,0,2,2,5,3,1,1,1,0,0,0,0,0